Step;name: no_q_coord - Train/train_success;name: no_q_coord - Train/train_success__MIN;name: no_q_coord - Train/train_success__MAX;name: no_coord_w - Train/train_success;name: no_coord_w - Train/train_success__MIN;name: no_coord_w - Train/train_success__MAX;name: inverse_mask - Train/train_success;name: inverse_mask - Train/train_success__MIN;name: inverse_mask - Train/train_success__MAX;name: true_mask - Train/train_success;name: true_mask - Train/train_success__MIN;name: true_mask - Train/train_success__MAX;name: eval - Train/train_success;name: eval - Train/train_success__MIN;name: eval - Train/train_success__MAX
3462;2;2;2;6;6;6;7;7;7;4;4;4;3;3;3
3472;2;2;2;5;5;5;8;8;8;3;3;3;7;7;7
3482;1;1;1;4;4;4;3;3;3;3;3;3;4;4;4
3492;1;1;1;2;2;2;4;4;4;7;7;7;4;4;4
3502;2;2;2;6;6;6;2;2;2;2;2;2;5;5;5
3512;3;3;3;8;8;8;6;6;6;6;6;6;3;3;3
3522;1;1;1;8;8;8;6;6;6;5;5;5;3;3;3
3532;4;4;4;4;4;4;2;2;2;5;5;5;3;3;3
3542;1;1;1;0;0;0;3;3;3;4;4;4;2;2;2
3552;2;2;2;6;6;6;1;1;1;5;5;5;2;2;2
3563;1;1;1;2;2;2;3;3;3;5;5;5;6;6;6
3573;6;6;6;7;7;7;5;5;5;5;5;5;5;5;5
3583;3;3;3;4;4;4;5;5;5;4;4;4;4;4;4
3593;8;8;8;4;4;4;3;3;3;1;1;1;5;5;5
3603;3;3;3;1;1;1;1;1;1;4;4;4;2;2;2
3614;7;7;7;3;3;3;1;1;1;0;0;0;2;2;2
3624;5;5;5;4;4;4;1;1;1;4;4;4;4;4;4
3634;4;4;4;2;2;2;4;4;4;9;9;9;2;2;2
3644;6;6;6;4;4;4;4;4;4;7;7;7;5;5;5
3654;1;1;1;3;3;3;1;1;1;2;2;2;7;7;7
3665;2;2;2;2;2;2;1;1;1;6;6;6;6;6;6
3675;4;4;4;3;3;3;4;4;4;3;3;3;3;3;3
3685;0;0;0;6;6;6;4;4;4;2;2;2;6;6;6
