Step;name: no_q_coord - Train/train_Tot_reward;name: no_q_coord - Train/train_Tot_reward__MIN;name: no_q_coord - Train/train_Tot_reward__MAX;name: no_coord_w - Train/train_Tot_reward;name: no_coord_w - Train/train_Tot_reward__MIN;name: no_coord_w - Train/train_Tot_reward__MAX;name: inverse_mask - Train/train_Tot_reward;name: inverse_mask - Train/train_Tot_reward__MIN;name: inverse_mask - Train/train_Tot_reward__MAX;name: true_mask - Train/train_Tot_reward;name: true_mask - Train/train_Tot_reward__MIN;name: true_mask - Train/train_Tot_reward__MAX;name: eval - Train/train_Tot_reward;name: eval - Train/train_Tot_reward__MIN;name: eval - Train/train_Tot_reward__MAX
1889;;;;;;;;;;;;;"21,02";"21,02";"21,02"
1895;;;;;;;;;;0;0;0;;;
1897;"16,25";15.920.000.000.000.000;"16,58";"9,58";"9,58";"9,58";"23,98";"23,98";"23,98";;;;18;18;18
1943;;;;;;;;;;;;;"8,36";"8,36";"8,36"
1945;;;;;;;;;;;;;7.140.000.000.000.000;7.140.000.000.000.000;7.140.000.000.000.000
1953;;;;;;;;;;;;;"8,86";"8,86";"8,86"
1958;;;;;;;;;;0;0;0;;;
1960;"8,71";"5,3";12.120.000.000.000.000;"6,9";"6,9";"6,9";"6,9";"6,9";"6,9";;;;9.120.000.000.000.000;9.120.000.000.000.000;9.120.000.000.000.000
2006;;;;;;;;;;;;;16.799.999.999.999.900;16.799.999.999.999.900;16.799.999.999.999.900
2009;;;;;;;;;;;;;14.100.000.000.000.000;14.100.000.000.000.000;14.100.000.000.000.000
2016;;;;;;;;;;;;;"15,26";"15,26";"15,26"
2022;;;;;;;;;;"8,02";"8,02";"8,02";;;
2023;"11,93";"8,76";15.100.000.000.000.000;0;0;0;"5,08";"5,08";"5,08";;;;7.840.000.000.000.000;"7,84";"7,84"
2069;;;;;;;;;;;;;15.620.000.000.000.000;15.620.000.000.000.000;15.620.000.000.000.000
2072;;;;;;;;;;;;;"15,7";"15,7";"15,7"
2079;;;;;;;;;;;;;"12,26";"12,26";"12,26"
2085;;;;;;;;;;7.779.999.999.999.990;7.779.999.999.999.990;7.779.999.999.999.990;;;
2086;12.940.000.000.000.000;12.620.000.000.000.000;13.260.000.000.000.000;0;0;0;"7,66";"7,66";"7,66";;;;"8,94";"8,94";"8,94"
2133;;;;;;;;;;;;;"16,4";"16,4";"16,4"
2135;;;;;;;;;;;;;0;0;0
2142;;;;;;;;;;;;;"9,14";"9,14";"9,14"
2148;;;;;;;;;;"5,22";"5,22";"5,22";;;
